id	name	year	rating	runtime	genre	earnings_rank
275847	Lilo & Stitch	2002	PG	85	N,C,F,S	\N
181689	Minority Report	2002	PG13	145	A,D,M,S,T	\N
253474	Pianist, The	2002	R	150	D,W	\N
304669	Santa Clause 2, The	2002	G	105	C,F,Y,R	\N
267913	Scooby-Doo	2002	PG	87	V,C,F,Y,M	\N
295701	XXX	2002	PG13	124	A,V,T	\N
252866	American Pie 2	2001	R	105	C	\N
232500	Fast and the Furious, The	2001	PG13	106	A,T	\N
280778	Iris	2001	R	91	D	\N
146316	Lara Croft: Tomb Raider	2001	PG13	100	A,V,Y	\N
285742	Monster's Ball	2001	NC-17	111	D,R	\N
139654	Training Day	2001	R	120	D,T	\N
130623	Dinosaur	2000	PG	82	V,N,F	\N
195685	Erin Brockovich	2000	R	130	D	\N
183659	Pollock	2000	R	122	D	\N
175142	Scary Movie	2000	R	88	C,H	\N
181865	Traffic	2000	R	147	D,T	\N
161081	What Lies Beneath	2000	PG13	130	H,M,T	\N
120903	X-Men	2000	PG13	104	A,Y,S,T	\N
169547	American Beauty	1999	R	122	D	\N
185937	Blair Witch Project, The	1999	R	86	H,M,T	\N
171804	Boys Don't Cry	1999	NC-17	118	D	\N
124315	Cider House Rules, The	1999	PG13	126	D,R	\N
172493	Girl, Interrupted	1999	R	127	D	\N
120689	Green Mile, The	1999	R	188	D,Y	\N
163187	Runaway Bride	1999	PG	116	C,R	\N
164912	Stuart Little	1999	PG	84	V,C,F,Y	\N
120616	The Mummy	1999	PG13	124	A,V,C,Y,H	\N
120623	A Bug's Life	1998	G	96	V,N,C,F	\N
120647	Deep Impact	1998	PG13	120	D,S,T	\N
118998	Doctor Dolittle	1998	PG13	85	C,F	\N
120685	Godzilla	1998	PG13	140	A,S,T	\N
122151	Lethal Weapon 4	1998	R	127	A,C,T	\N
129290	Patch Adams	1998	PG13	115	C,D	\N
120812	Rush Hour	1998	PG13	97	A,C,T	\N
138097	Shakespeare in Love	1998	R	122	C,D,R	\N
120484	Waterboy, The	1998	PG13	90	C	\N
118564	Affliction	1997	R	114	D	\N
119822	As Good As It Gets	1997	PG13	139	C,D,R	\N
119217	Good Will Hunting	1997	R	126	D	\N
119488	L.A. Confidential	1997	R	138	D,M,T	\N
118799	Vita e bella, La	1997	PG13	122	C,D,R,W	\N
115433	101 Dalmatians	1996	G	103	V,C,F	\N
116209	English Patient, The	1996	R	160	D,R	\N
116282	Fargo	1996	R	98	C,T	\N
116695	Jerry Maguire	1996	R	138	C,D,R	\N
117438	Ransom	1996	R	121	A,D,T	\N
117500	Rock, The	1996	R	136	A,D,T	\N
117631	Shine	1996	PG13	105	D,R	\N
112573	Braveheart	1995	R	177	A,D,W	\N
112818	Dead Man Walking	1995	R	122	D	\N
113627	Leaving Las Vegas	1995	R	111	D,R	\N
113819	Mighty Aphrodite	1995	R	98	C	\N
114148	Pocahontas	1995	G	81	N,F,L,R	\N
114814	Usual Suspects, The	1995	R	106	M,T	\N
109306	Blue Sky	1994	PG13	101	D,R	\N
109348	Bullets Over Broadway	1994	R	98	C,R	\N
109707	Ed Wood	1994	R	127	C,D	\N
109813	Flintstones, The	1994	PG	91	C,F,Y	\N
111070	Santa Clause, The	1994	PG	97	C,F,Y	\N
111503	True Lies	1994	R	144	A,V,C,R,T	\N
106918	Firm, The	1993	R	154	D,T	\N
107818	Philadelphia	1993	PG13	125	D	\N
107822	Piano, The	1993	R	121	D,R	\N
108052	Schindler's List	1993	R	197	D,W	\N
103776	Batman Returns	1992	PG13	126	A,Y,R,T	\N
104257	Few Good Men, A	1992	R	138	D,T	\N
104454	Howards End	1992	PG	140	D	\N
